frame_index,timestamp_s,timestamp_hms,count_car,count_bus,count_truck,count_2w,count_3w,count_other,total_count,density
227,7.561345880353919,0:00:07,6,7,6,14,9,0,42,0.7
228,7.594655774099971,0:00:07,6,8,2,14,9,0,39,0.65
229,7.6279656678460235,0:00:07,6,7,3,14,9,0,39,0.65
230,7.661275561592077,0:00:07,6,7,3,15,9,0,40,0.6666666666666666
231,7.694585455338129,0:00:07,7,8,1,14,9,0,39,0.65
232,7.727895349084181,0:00:07,7,8,4,14,9,0,42,0.7
233,7.761205242830234,0:00:07,7,8,3,14,9,0,41,0.6833333333333333
234,7.794515136576287,0:00:07,6,9,1,15,9,0,40,0.6666666666666666
235,7.827825030322339,0:00:07,8,4,2,14,9,0,37,0.6166666666666667
236,7.861134924068391,0:00:07,6,5,4,14,9,0,38,0.6333333333333333
237,7.894444817814444,0:00:07,6,5,6,14,9,0,40,0.6666666666666666
238,7.927754711560496,0:00:07,6,4,6,14,9,0,39,0.65
239,7.961064605306549,0:00:07,7,3,6,14,9,0,39,0.65
240,7.994374499052602,0:00:07,6,3,7,14,9,0,39,0.65
241,8.027684392798655,0:00:08,6,2,6,14,9,0,37,0.6166666666666667
242,8.060994286544707,0:00:08,6,4,5,14,9,0,38,0.6333333333333333
243,8.09430418029076,0:00:08,6,4,5,14,9,0,38,0.6333333333333333
244,8.127614074036812,0:00:08,5,3,3,14,9,0,34,0.5666666666666667
245,8.160923967782864,0:00:08,7,3,3,14,9,0,36,0.6
246,8.194233861528916,0:00:08,5,2,5,14,9,0,35,0.5833333333333334
247,8.227543755274969,0:00:08,5,4,5,15,9,0,38,0.6333333333333333
248,8.260853649021021,0:00:08,7,4,3,15,10,0,39,0.65
249,8.294163542767073,0:00:08,6,4,3,14,11,0,38,0.6333333333333333
250,8.327473436513127,0:00:08,7,3,4,14,9,0,37,0.6166666666666667
251,8.36078333025918,0:00:08,7,2,2,14,9,0,34,0.5666666666666667
252,8.394093224005232,0:00:08,7,2,2,14,9,0,34,0.5666666666666667
253,8.427403117751284,0:00:08,8,3,3,14,9,0,37,0.6166666666666667
254,8.460713011497337,0:00:08,6,3,3,14,9,0,35,0.5833333333333334
255,8.494022905243389,0:00:08,6,3,2,14,10,0,35,0.5833333333333334
256,8.527332798989441,0:00:08,8,3,2,15,9,0,37,0.6166666666666667
257,8.560642692735493,0:00:08,7,3,1,13,8,0,32,0.5333333333333333
258,8.593952586481546,0:00:08,8,3,1,13,8,0,33,0.55
259,8.6272624802276,0:00:08,9,2,0,14,9,0,34,0.5666666666666667
260,8.660572373973652,0:00:08,8,2,1,15,9,0,35,0.5833333333333334
261,8.693882267719705,0:00:08,9,3,1,15,9,0,37,0.6166666666666667
262,8.727192161465757,0:00:08,8,4,0,15,10,0,37,0.6166666666666667
263,8.76050205521181,0:00:08,8,3,1,15,8,0,35,0.5833333333333334
264,8.793811948957861,0:00:08,9,3,0,15,10,0,37,0.6166666666666667
265,8.827121842703914,0:00:08,8,3,0,16,11,0,38,0.6333333333333333
266,8.860431736449966,0:00:08,9,3,0,14,10,0,36,0.6
267,8.893741630196018,0:00:08,6,4,0,14,9,0,33,0.55
268,8.927051523942072,0:00:08,7,5,0,13,9,0,34,0.5666666666666667
269,8.960361417688125,0:00:08,8,4,0,14,9,0,35,0.5833333333333334
270,8.993671311434177,0:00:08,10,4,0,13,9,0,36,0.6
271,9.02698120518023,0:00:09,9,4,0,14,9,0,36,0.6
272,9.060291098926282,0:00:09,10,4,0,14,9,0,37,0.6166666666666667
273,9.093600992672334,0:00:09,10,3,0,15,9,0,37,0.6166666666666667
274,9.126910886418386,0:00:09,8,5,0,15,9,0,37,0.6166666666666667
275,9.160220780164439,0:00:09,8,3,0,14,9,0,34,0.5666666666666667
276,9.193530673910491,0:00:09,10,3,0,14,9,0,36,0.6
277,9.226840567656545,0:00:09,9,3,0,15,9,0,36,0.6
278,9.260150461402597,0:00:09,8,3,0,16,9,0,36,0.6
279,9.29346035514865,0:00:09,8,2,0,17,10,0,37,0.6166666666666667
280,9.326770248894702,0:00:09,8,2,0,15,9,0,34,0.5666666666666667
281,9.360080142640754,0:00:09,8,3,0,17,9,0,37,0.6166666666666667
